,filename,site_name,site_code,country,contributor_abbreviated,contributor_full,contributor_website,contributor_contact,orginator,originator_website,originator_contact,latitude,longitude,coordinate_system,start_date_time,end_date_time,number_of_years,time_zone_hours,datum_information,instrument,precision,null_value,gauge_type,overall_record_quality
10,lerwick-293a-gbr-uhslc,Lerwick,293A,GBR,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Oceanography Centre (NOC)  United Kingdom ,Unspecified,Unspecified,60.155,-1.14,Unspecified,1959-01-01 00:00:00,2016-11-27 03:00:00,58,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
11,rorvik-803a-nor-uhslc,Rorvik,803A,NOR,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Norwegian Hydrographic Services (NHS)  Norway ,Unspecified,Unspecified,64.867,11.25,Unspecified,1969-08-18 23:00:00,2018-12-31 23:00:00,50,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
12,goteborgorsh-819a-swe-uhslc,Goteborgorsh,819A,SWE,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Swedish Meteorological and Hydrographical Institute  Sweden ,Unspecified,Unspecified,57.685,11.79,Unspecified,1967-11-02 16:00:00,2014-12-31 23:00:00,48,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
13,cascais-209a-prt-uhslc,Cascais,209A,PRT,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, 2000\u2013present  Instituto Geografico Portugues (IGP)  Portugal; origination\u20132000  Instituto Hidrografico (IH)  Orgao da Marinha Portuguesa  Portugal ,Unspecified,Unspecified,38.692,-9.417,Unspecified,1959-01-01 00:00:00,2005-12-31 23:00:00,46,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
14,gibraltar-289a-gbr-uhslc,Gibraltar,289A,GBR,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, British Oceanographic Data Centre (BODC)  United Kingdom ,Unspecified,Unspecified,36.133,-5.35,Unspecified,1961-07-01 00:00:00,2014-05-21 22:00:00,39,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
15,stornoway-295a-gbr-uhslc,Stornoway,295A,GBR,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Oceanography Centre (NOC)  United Kingdom ,Unspecified,Unspecified,58.208,-6.388,Unspecified,1976-01-01 00:00:00,2016-12-31 23:00:00,38,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
16,ponta_delgada-211a-prt-uhslc,Ponta_Delgada,211A,PRT,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Instituto Hidrografico (IH)  Orgao da Marinha Portuguesa  Portugal ,Unspecified,Unspecified,37.735,-25.672,Unspecified,1978-05-19 01:00:00,2018-12-31 23:00:00,36,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
17,funchal-218b-prt-uhslc,Funchal,218B,PRT,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Instituto Hidrografico (IH)  Orgao da Marinha Portuguesa  Portugal ,Unspecified,Unspecified,32.643,-16.913,Unspecified,1976-10-06 00:00:00,2013-12-31 22:00:00,35,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
18,maloy-802a-nor-uhslc,Maloy,802A,NOR,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Norwegian Hydrographic Services (NHS)  Norway ,Unspecified,Unspecified,61.933,5.117,Unspecified,1986-04-21 18:00:00,2014-12-31 22:00:00,29,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
19,alexandria-807a-egy-uhslc,Alexandria,807A,EGY,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Oceanography Centre (NOC)  United Kingdom ,Unspecified,Unspecified,31.212,29.923,Unspecified,2009-11-06 15:00:00,2016-01-17 14:00:00,8,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
20,castletownsend-835a-irl-uhslc,Castletownsend,835A,IRL,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Dr. James Murphy Hydraulics and Maritime Research Centre  Ireland ,Unspecified,Unspecified,51.533,-9.183,Unspecified,2004-12-17 01:00:00,2008-12-31 23:00:00,5,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues
21,newlyn-new-gbr-bodc,Newlyn,NEW,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,50.103,-5.54275,UK National Grid ,1915-01-01 00:00:00,2021-07-31 23:45:00,107,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
22,aberdeen-abe-gbr-bodc,Aberdeen,ABE,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,57.144028,-2.080222,UK National Grid ,1930-01-01 00:00:00,2021-07-31 23:45:00,73,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
23,dover-dov-gbr-bodc,Dover,DOV,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,51.114389,1.322528,UK National Grid ,1924-01-01 00:00:00,2021-07-31 23:45:00,70,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
24,north_shields-nsh-gbr-bodc,North_Shields,NSH,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,55.007444,-1.439778,UK National Grid ,1946-01-01 00:00:00,2021-07-31 23:45:00,68,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
25,immingham-imm-gbr-bodc,Immingham,IMM,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,53.630417,-0.187528,UK National Grid ,1953-01-01 00:00:00,2021-07-31 23:45:00,63,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
26,lerwick-ler-gbr-bodc,Lerwick,LER,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,60.154028,-1.140306,UK National Grid ,1959-01-01 00:00:00,2021-07-31 23:45:00,63,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
27,milford_haven-mha-gbr-bodc,Milford_Haven,MHA,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,51.707389,-5.051778,UK National Grid ,1953-01-01 00:00:00,2021-07-31 23:45:00,61,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
28,fishguard-fis-gbr-bodc,Fishguard,FIS,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,52.013222,-4.98375,UK National Grid ,1963-01-01 00:00:00,2021-07-31 23:45:00,58,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
29,lowestoft-low-gbr-bodc,Lowestoft,LOW,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,52.473083,1.75025,UK National Grid ,1964-01-01 00:00:00,2021-07-31 23:45:00,58,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
30,heysham-hey-gbr-bodc,Heysham,HEY,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,54.031833,-2.92025,UK National Grid ,1964-01-01 00:00:00,2021-07-31 23:45:00,57,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
31,wick-wic-gbr-bodc,Wick,WIC,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,58.440972,-3.086389,UK National Grid ,1965-01-01 00:00:00,2021-07-31 23:45:00,56,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
32,portpatrick-por-gbr-bodc,Portpatrick,POR,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,54.842556,-5.120028,UK National Grid ,1968-01-01 00:00:00,2021-07-31 23:45:00,54,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
33,ullapool-ull-gbr-bodc,Ullapool,ULL,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,57.89525,-5.158056,UK National Grid ,1966-01-01 00:00:00,2021-07-31 23:45:00,52,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
34,holyhead-hol-gbr-bodc,Holyhead,HOL,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,53.313944,-4.620417,UK National Grid ,1964-01-01 00:00:00,2021-07-31 23:45:00,51,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
35,sheerness-she-gbr-bodc,Sheerness,SHE,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,51.445639,0.743361,UK National Grid ,1952-01-01 00:00:00,2021-07-31 23:45:00,51,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
36,ilfracombe-ilf-gbr-bodc,Ilfracombe,ILF,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,51.211139,-4.112389,UK National Grid ,1968-01-01 00:00:00,2021-07-31 23:45:00,47,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
37,stornoway-sto-gbr-bodc,Stornoway,STO,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,58.207722,-6.388889,UK National Grid ,1976-01-01 00:00:00,2021-07-31 23:45:00,43,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
38,whitby-whi-gbr-bodc,Whitby,WHI,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,54.49,-0.614694,UK National Grid ,1980-01-01 00:00:00,2021-07-31 23:45:00,42,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
39,avonmouth-avo-gbr-bodc,Avonmouth,AVO,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,51.50775,-2.71275,UK National Grid ,1961-01-01 00:00:00,2012-04-30 23:45:00,40,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
40,millport-mil-gbr-bodc,Millport,MIL,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,55.749806,-4.906333,UK National Grid ,1978-01-01 00:00:00,2021-07-31 23:45:00,40,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
41,newhaven-nha-gbr-bodc,Newhaven,NHA,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,50.781778,0.057028,UK National Grid ,1982-01-01 00:00:00,2021-07-31 23:45:00,37,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
42,cromer-cro-gbr-bodc,Cromer,CRO,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,52.934194,1.301639,UK National Grid ,1973-01-01 00:00:00,2021-07-31 23:45:00,36,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
43,harwich-har-gbr-bodc,Harwich,HAR,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,51.948,1.292056,UK National Grid ,1954-01-01 00:00:00,2021-07-31 23:45:00,35,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
44,leith-lei-gbr-bodc,Leith,LEI,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,55.989833,-3.181694,UK National Grid ,1981-01-01 00:00:00,2021-07-31 23:45:00,33,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
45,devonport-dev-gbr-bodc,Devonport,DEV,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,50.368389,-4.18525,UK National Grid ,1987-01-01 00:00:00,2021-07-31 23:45:00,32,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
46,tobermory-tob-gbr-bodc,Tobermory,TOB,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,56.623111,-6.064222,UK National Grid ,1990-01-01 00:00:00,2021-07-31 23:45:00,32,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
47,hinkley_point-hin-gbr-bodc,Hinkley_Point,HIN,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,51.21525,-3.134472,UK National Grid ,1990-01-01 00:00:00,2021-07-31 23:45:00,31,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
48,liverpool_gladstone_dock-liv-gbr-bodc,Liverpool_Gladstone_Dock,LIV,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,53.449694,-3.018139,UK National Grid ,1991-01-01 00:00:00,2021-07-31 23:45:00,31,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
49,portsmouth-ptm-gbr-bodc,Portsmouth,PTM,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,50.802194,-1.11125,UK National Grid ,1991-01-01 00:00:00,2021-07-31 23:45:00,31,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
50,weymouth-wey-gbr-bodc,Weymouth,WEY,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,50.6085,-2.447944,UK National Grid ,1991-01-01 00:00:00,2021-07-31 23:45:00,31,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
51,kinlochbervie-kin-gbr-bodc,Kinlochbervie,KIN,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,58.456694,-5.050222,UK National Grid ,1991-01-01 00:00:00,2021-07-31 23:45:00,30,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
52,workington-wor-gbr-bodc,Workington,WOR,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,54.650722,-3.567167,UK National Grid ,1992-01-01 00:00:00,2021-07-31 23:45:00,30,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
53,st_helier_jersey-jer-gbr-bodc,St_Helier_Jersey,JER,GBR,BODC,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,British Oceanographic Data Centre,https://www.bodc.ac.uk/data/hosted_data_systems/sea_level/uk_tide_gauge_network/,enquiries@bodc.ac.uk,49.183333,-2.116667,UK National Grid ,1992-01-01 00:00:00,2021-07-31 23:45:00,30,0,Admiralty Chart Datum (ACD) ,bubbler,0.001 (m) ,-99.9999,Coastal,No obvious issues
